,score,time,label,n,subject,contrast
0,0.03408676643150499,-0.2,t0_s0_h0,327,01,wordfreq
1,0.011802919248399966,-0.19,t0_s0_h0,327,01,wordfreq
2,-0.010809136272301288,-0.18,t0_s0_h0,327,01,wordfreq
3,-0.03349975380122203,-0.17,t0_s0_h0,327,01,wordfreq
4,-0.0044655764711248255,-0.16,t0_s0_h0,327,01,wordfreq
5,-0.0668836908292142,-0.15,t0_s0_h0,327,01,wordfreq
6,-0.03562986524734644,-0.14,t0_s0_h0,327,01,wordfreq
7,-0.08455620740141938,-0.13,t0_s0_h0,327,01,wordfreq
8,-0.062373118563898926,-0.12,t0_s0_h0,327,01,wordfreq
9,-0.05025344033272022,-0.11,t0_s0_h0,327,01,wordfreq
10,0.014774743237378218,-0.1,t0_s0_h0,327,01,wordfreq
11,0.006704346166251053,-0.09,t0_s0_h0,327,01,wordfreq
12,0.028304128131914883,-0.08,t0_s0_h0,327,01,wordfreq
13,-0.02828439409927061,-0.07,t0_s0_h0,327,01,wordfreq
14,0.02026525328662934,-0.06,t0_s0_h0,327,01,wordfreq
15,-0.021675249908518716,-0.05,t0_s0_h0,327,01,wordfreq
16,0.025063527329739477,-0.04,t0_s0_h0,327,01,wordfreq
17,-0.0265396746602774,-0.03,t0_s0_h0,327,01,wordfreq
18,-0.13188674488601376,-0.02,t0_s0_h0,327,01,wordfreq
19,-0.033134796856712466,-0.01,t0_s0_h0,327,01,wordfreq
20,-0.013103255208011403,0.0,t0_s0_h0,327,01,wordfreq
21,-0.11286991116433008,0.01,t0_s0_h0,327,01,wordfreq
22,-0.05496396624719038,0.02,t0_s0_h0,327,01,wordfreq
23,-0.02383242322942586,0.03,t0_s0_h0,327,01,wordfreq
24,-0.011427335777651792,0.04,t0_s0_h0,327,01,wordfreq
25,0.07061446556090974,0.05,t0_s0_h0,327,01,wordfreq
26,0.07054924136590097,0.06,t0_s0_h0,327,01,wordfreq
27,0.06881580440743734,0.07,t0_s0_h0,327,01,wordfreq
28,0.11186166295786198,0.08,t0_s0_h0,327,01,wordfreq
29,0.06570789717688826,0.09,t0_s0_h0,327,01,wordfreq
30,0.013043726888793633,0.1,t0_s0_h0,327,01,wordfreq
31,0.01366300501368381,0.11,t0_s0_h0,327,01,wordfreq
32,0.054021914391765055,0.12,t0_s0_h0,327,01,wordfreq
33,0.029408692973292242,0.13,t0_s0_h0,327,01,wordfreq
34,-0.016380822740047478,0.14,t0_s0_h0,327,01,wordfreq
35,-0.03207859309719637,0.15,t0_s0_h0,327,01,wordfreq
36,0.016936856172796232,0.16,t0_s0_h0,327,01,wordfreq
37,0.022850023013356296,0.17,t0_s0_h0,327,01,wordfreq
38,0.12150951555438165,0.18,t0_s0_h0,327,01,wordfreq
39,0.15469971310657984,0.19,t0_s0_h0,327,01,wordfreq
40,0.08645888903047494,0.2,t0_s0_h0,327,01,wordfreq
41,0.06690817028945403,0.21,t0_s0_h0,327,01,wordfreq
42,0.060043410725382815,0.22,t0_s0_h0,327,01,wordfreq
43,0.04183058035157171,0.23,t0_s0_h0,327,01,wordfreq
44,-0.0018835837123127126,0.24,t0_s0_h0,327,01,wordfreq
45,0.026711679102507935,0.25,t0_s0_h0,327,01,wordfreq
46,0.1050992703802438,0.26,t0_s0_h0,327,01,wordfreq
47,0.07213654470935854,0.27,t0_s0_h0,327,01,wordfreq
48,0.05769614794603438,0.28,t0_s0_h0,327,01,wordfreq
49,0.026014464871817432,0.29,t0_s0_h0,327,01,wordfreq
50,0.005037668439985544,0.3,t0_s0_h0,327,01,wordfreq
51,0.000657910391479021,0.31,t0_s0_h0,327,01,wordfreq
52,-0.007717650904807103,0.32,t0_s0_h0,327,01,wordfreq
53,0.0035223885950886385,0.33,t0_s0_h0,327,01,wordfreq
54,0.09204881635344936,0.34,t0_s0_h0,327,01,wordfreq
55,0.08497876175891209,0.35,t0_s0_h0,327,01,wordfreq
56,-0.001968743626110419,0.36,t0_s0_h0,327,01,wordfreq
